index,s_m,x_m,y_m,z_m,nx,ny,nz,tx,ty,tz,bx,by,bz,local_radius_m
0,0.0,-0.25200003385543823,-0.09099999815225601,0.0025558159686625004,-0.02860023539553412,-0.030351268923221254,0.9991300350855591,0.9994395498641735,0.015537883346877291,0.02965063824603197,-0.016424303087841846,0.9994182495655831,0.02988987626847074,2.324355125427246
1,0.005247285314408964,-0.2467556893825531,-0.09091846644878387,0.0027114013209939003,-0.02970719942809905,-0.0321671856020121,0.9990409173164956,0.9994062760645501,0.01650021221798343,0.03024629497227342,-0.01745732533439804,0.9993462955327131,0.03165791207916487,2.3026680946350098
2,0.01046184145923575,-0.24154441058635712,-0.09082737565040588,0.002872247714549303,-0.03080195367066769,-0.034038036976379644,0.998945770144138,0.9993353615614007,0.018450550635893313,0.03143902533758069,-0.019501222221625585,0.9992502157956726,0.033447100982964814,2.2571768760681152
3,0.015643872904282128,-0.23636601865291595,-0.09072664380073547,0.0030382596887648106,-0.03188050788593197,-0.035961809597476954,0.9988445231703531,0.999258617813404,0.020440011171920538,0.032625460440231194,-0.02158966380918294,0.9991441138912277,0.035283510215395386,2.214792490005493
4,0.02079350950693542,-0.23122040927410126,-0.09061619639396667,0.0032093229237943888,-0.032938835702081976,-0.0379362420727421,0.998737139912194,0.9991759057398871,0.02247058837677943,0.033802101219860645,-0.02372453586227788,0.9990274882374574,0.03716482401514303,2.171212911605835
5,0.02591095613382159,-0.2261074036359787,-0.09049593657255173,0.0033853084314614534,-0.03397287665113455,-0.0399588560590509,0.9986236195256443,0.999087193155253,0.02454005129435332,0.03496521636754238,-0.02590344489518941,0.9988999380475386,0.03908868520665941,2.1371994018554688
6,0.030996297081202454,-0.2210269421339035,-0.09036581963300705,0.003566065337508917,-0.034978546863864465,-0.04202688937414385,0.9985040019092692,0.9989924754695967,0.026646030067928952,0.03611125914097133,-0.028123811551392923,0.9987611040213057,0.04105250684141477,2.101576089859009
7,0.036049736252958466,-0.21597884595394135,-0.09022577852010727,0.003751432290300727,-0.03595182395596647,-0.04413740454731209,0.9983783630838892,0.9988915636051899,0.028793343599455734,0.03723691075723394,-0.03039019184532601,0.9986104590505517,0.04305330782240552,2.0635673999786377
8,0.041071403540945156,-0.21096301078796387,-0.09007572382688522,0.003941230941563845,-0.03688872192313502,-0.04628725766251089,0.9982468191649607,0.9987842881189735,0.030985638016965075,0.03833844080497799,-0.03270589587892741,0.9984474947522223,0.04508796511008176,2.0261001586914062
9,0.046061473601021946,-0.20597928762435913,-0.08991555869579315,0.004135266412049532,-0.03778528316889892,-0.048473059834877215,0.9981095304855527,0.9986706749767128,0.03321977630799235,0.039412300156216315,-0.03506741011830088,0.9982719234607089,0.047153404730213865,1.995827317237854
10,0.051020089826893045,-0.20102755725383759,-0.08974523097276688,0.004333331249654293,-0.038637672589496554,-0.05069127689895104,0.9979666951873799,0.9985507519249106,0.035493332155384416,0.040455150508966684,-0.03747188662993077,0.9980834867671313,0.04924643291812198,1.9644010066986084
11,0.05594742557143787,-0.1961076706647873,-0.08956467360258102,0.00453520379960537,-0.03944213177126218,-0.05293818377038836,0.9978185541171455,0.9984242869998793,0.037811448228316315,0.04146368907441514,-0.03992397699368655,0.9978816947731752,0.05136340426435297,1.9289112091064453
12,0.06084361052944253,-0.1912195235490799,-0.08937378972768784,0.004740650299936533,-0.04019504210954339,-0.05520989234952734,0.9976653879816447,0.9982912814204643,0.04017259928586808,0.042434416533096195,-0.042421611423167825,0.9976663117963185,0.0535008148628865,1.901573657989502
13,0.06570878698459069,-0.18636299669742584,-0.08917253464460373,0.004949421156197786,-0.040892881980250505,-0.05750235239625905,0.9975075196068678,0.9981516529749931,0.04257715836150886,0.04336430847077078,-0.04496458537817383,0.9974370711427302,0.05565496538478324,1.8671154975891113
14,0.07054314415075208,-0.181537926197052,-0.08896081149578094,0.0051612635143101215,-0.041532340411549545,-0.05981143422955355,0.9973453048144073,0.9980051941072108,0.04502809342416926,0.044250461439545044,-0.047555241127593996,0.9971936197979709,0.05782199992663879,1.836822748184204
15,0.07534681020245224,-0.17674420773983002,-0.08873855322599411,0.005375907756388187,-0.04211022782917031,-0.06213284594476548,0.9971791404592153,0.9978518929831103,0.04752386945258431,0.04508970505866176,-0.050191362992663684,0.9969358307536205,0.0599981369754704,1.8056023120880127
16,0.08011994352445813,-0.17198170721530914,-0.08850568532943726,0.005593078210949898,-0.04262357571361514,-0.06446222206332723,0.9970094546793646,0.9976915930097945,0.05006567868175082,0.04587933146542588,-0.052873438656545785,0.9966634922971963,0.06217943877673011,1.7744519710540771
17,0.08486271744948135,-0.16725027561187744,-0.08826213330030441,0.005812490824609995,-0.043069573300782454,-0.06679510642212741,0.9968367096038073,0.9975240913712214,0.05265517264176566,0.04661673442107315,-0.05560237877977207,0.9963763959110226,0.0643618920277514,1.7416932582855225
18,0.08957524637072285,-0.16254982352256775,-0.08800781518220901,0.0060338531620800495,-0.04344564922747073,-0.06912696906013277,0.996661395716601,0.9973493011693432,0.05529136510693158,0.04729943341769326,-0.058376435592569074,0.9960745011746239,0.06654156503442864,1.712190866470337
