index,s_m,x_m,y_m,z_m,nx,ny,nz,tx,ty,tz,bx,by,bz,local_radius_m
0,0.0,0.0788675993680954,0.043357834219932556,-0.23800000548362732,0.8763066724943034,0.48175368783431405,-0.0,-0.346427173086685,0.6047527129827517,0.7171208893116764,0.3455014922605543,-0.6284648580184621,0.6968935651027096,0.18587420880794525
1,0.004534238658695792,0.07729681581258774,0.04609992727637291,-0.23474840819835663,0.858853449421107,0.5122213900428856,-0.0,-0.357028303735944,0.5986879437871101,0.7170101368149523,0.36726792907624445,-0.6158066294780659,0.6970627399043151,0.18512049317359924
2,0.009056880593945741,0.07563427835702896,0.048779673874378204,-0.2315066158771515,0.8403808378605695,0.5419963536378885,-0.0,-0.3779670220383631,0.5860938175405148,0.7166833103207003,0.3884397410232397,-0.6022869209883058,0.6973987613985451,0.1849534958600998
3,0.013568070330205807,0.0738825798034668,0.051394205540418625,-0.22827449440956116,0.8209175531936576,0.5710467326397536,-0.0,-0.3984163120381418,0.5727938863493244,0.71635996961218,0.40907502017015085,-0.5880724736456505,0.6977308891063061,0.18479840457439423
4,0.018067951685324282,0.07204438745975494,0.053940776735544205,-0.22505192458629608,0.8004931272260679,0.599341933510271,-0.0,-0.41835699217607275,0.5588079390663376,0.7160384866289116,0.4291518911794884,-0.5731838875568392,0.6980608034707988,0.18459452688694
5,0.022556691568004508,0.07012240588665009,0.056416746228933334,-0.22183877229690552,0.7791377639926064,0.6268527296906361,-0.0,-0.43776626117321765,0.5441535430647211,0.7157217491096194,0.44865213225654416,-0.5576458434015186,0.698385550794592,0.18443287909030914
6,0.027034439040726846,0.06811945140361786,0.05881956219673157,-0.21863488852977753,0.7568827678183555,0.6535506681043369,-0.0,-0.4566242488732738,0.5288562535930391,0.7154057299018886,0.46755389287031984,-0.5414782691086445,0.6987092681115057,0.18426629900932312
7,0.031501308005369835,0.06603837758302689,0.0611468143761158,-0.21544021368026733,0.7337597286631058,0.6794090524803488,-0.0,-0.4749106779415535,0.5129376987536052,0.7150907391194841,0.4858391216447363,-0.524704786859275,0.6990316405760427,0.18411290645599365
8,0.03595748530516019,0.06388211250305176,0.06339619308710098,-0.2122545689344406,0.7098011523969359,0.7044021039548234,-0.0,-0.4926051656797421,0.4964145282224131,0.7147816218365949,0.5034936784316266,-0.5073528190345401,0.6993477195194784,0.18391625583171844
9,0.04040310951893149,0.06165362522006035,0.06556547433137894,-0.2090778350830078,0.6850401939246085,0.7285052729443589,-0.0,-0.5096918569895222,0.47931223602406675,0.7144746260828174,0.5204985326131919,-0.4894438365253238,0.699661352680628,0.18376657366752625
10,0.044838352195327086,0.05935593694448471,0.06765259057283401,-0.2059098780155182,0.6595103480648441,0.7516954840860682,-0.0,-0.5261513823591583,0.46165691868465464,0.7141691762265697,0.536837744786703,-0.4710019621164654,0.6999731333806795,0.18362337350845337
11,0.049263316444474084,0.05699215456843376,0.06965555250644684,-0.20275060832500458,0.633246135165945,0.7739504714756582,-0.0,-0.5419687002522826,0.44346776357730033,0.7138671239205509,0.5524977972691322,-0.4520535973591425,0.7002811786185713,0.18342000246047974
12,0.05367817494621692,0.05456537753343582,0.07157248258590698,-0.19959987699985504,0.6062819550856996,0.7952497663862981,-0.0,-0.5571296524607923,0.4247708854650705,0.7135658660629282,0.5674630884164157,-0.4326221084571217,0.7005881490283844,0.1832914501428604
13,0.058083061342346996,0.052078768610954285,0.07340165227651596,-0.19645759463310242,0.5786529870991098,0.8155738596358256,-0.0,-0.5716150640322537,0.4055895973734993,0.713269442128152,0.5817239120113137,-0.41273549338944493,0.7008899362173956,0.1831233650445938
14,0.06247814200661078,0.04953554645180702,0.07514140009880066,-0.19332358241081238,0.5503949482840026,0.8349044262090423,-0.0,-0.5854100375436576,0.3859457926451292,0.7129803174581023,0.5952704229784996,-0.3924207650424111,0.7011840462321763,0.18297675251960754
15,0.06686358235285743,0.0469389334321022,0.0767902135848999,-0.19019770622253418,0.5215436581984533,0.8532245968049533,-0.0,-0.598509166847968,0.3658704005035706,0.712689011585213,0.608083794690745,-0.3716984343416753,0.701480129827247,0.18281766772270203
16,0.07123947985321542,0.044292181730270386,0.07834668457508087,-0.18707992136478424,0.4921353256695608,0.8705187081436649,-0.0,-0.6108978606794103,0.34538639813544286,0.7123987926718751,0.6201564768153178,-0.35059661191477287,0.701774864167914,0.18267123401165009
17,0.07560604195155536,0.04159856587648392,0.0798095241189003,-0.18397003412246704,0.4622063154182463,0.8867724183732199,-0.0,-0.6225597363478026,0.3245164221330126,0.7121154867326948,0.631484372472488,-0.3291442753487501,0.702062342907077,0.18251852691173553
18,0.07996333850832042,0.03886144608259201,0.08117751777172089,-0.1808679699897766,0.43179380465374767,0.901972344510984,-0.0,-0.6334886011050492,0.3032871213636336,0.711835033055362,0.642055513800248,-0.3073659572711542,0.7023466989382713,0.18236170709133148
19,0.0843115843465159,0.036084096878767014,0.08244961500167847,-0.17777356505393982,0.40093440364338184,0.9161067645068044,-0.0,-0.6436760482745156,0.28172579657948044,0.7115558449056268,0.6518611229604996,-0.2852872183878868,0.702629546345141,0.18221786618232727
20,0.08865084925248648,0.03326990082859993,0.08362483978271484,-0.1746867597103119,0.36966558609998296,0.929164869360307,-0.0,-0.6531080121835915,0.2598575459962335,0.7112833332859789,0.6608994855694539,-0.26293697032950497,0.7029054129881007,0.1820952296257019
21,0.09298142898754762,0.03042215295135975,0.08470238000154495,-0.17160728573799133,0.33802388511438025,0.941137531443827,-0.0,-0.6617819726809968,0.23770997143544462,0.7110123698745392,0.6691604267390986,-0.24033916367583233,0.7031795003339824,0.18193887174129486
22,0.09730333105192254,0.02754424884915352,0.0856814756989479,-0.16853517293930054,0.30604719704467237,0.9520163408162169,-0.0,-0.669691126270836,0.21530757228794714,0.7107435857674478,0.6766395079060966,-0.21752108228184713,0.7034511746408058,0.18180082738399506
23,0.10161675954141795,0.02463955618441105,0.08656150102615356,-0.1654702126979828,0.2737728216783938,0.9617943866077876,-0.0,-0.6768258993760597,0.19267575965789044,0.7104806496830456,0.6833363007684217,-0.19451029224288424,0.7037167372343199,0.18165169656276703
24,0.10592186676249413,0.021711410954594612,0.08734194189310074,-0.16241230070590973,0.24123790617709656,0.9704660079690016,-0.0,-0.6831845512401898,0.16984396844579144,0.7102196106341513,0.6892439904224585,-0.1713318918223993,0.7039801875841987,0.18154428899288177
25,0.11021880098981338,0.018763186410069466,0.08802240341901779,-0.15936130285263062,0.2084798319032397,0.9780266661444345,-0.0,-0.6887599817338583,0.14683753014466633,0.7099636802703286,0.6943634114166664,-0.1480131087453688,0.7042382924304392,0.18139582872390747
26,0.11450767571663945,0.015798263251781464,0.08860257267951965,-0.1563171148300171,0.17553623732736057,0.9844729703678778,-0.0,-0.693551009412675,0.12368074157206108,0.7097112592504395,0.6986915515989162,-0.12458004405571328,0.7044926744455018,0.1812525987625122
27,0.11878865974066163,0.012819967232644558,0.0890822559595108,-0.1532796025276184,0.1424440740013271,0.9898028519770513,-0.0,-0.697556015229527,0.1004028762165929,0.7094609700783684,0.7022264916436349,-0.10105851093637525,0.704744728111672,0.1811489313840866
28,0.12306194595205558,0.009831596165895462,0.08946138620376587,-0.15024861693382263,0.10923996694044937,0.9940154071355481,-0.0,-0.700772384023018,0.07703064810300746,0.7092138923086084,0.7049695360148109,-0.0774745021610921,0.704993372171649,0.1810157746076584
29,0.1273276070658881,0.006836524698883295,0.08973997086286545,-0.1472240835428238,0.075961383922285,0.9971107602230613,-0.0,-0.7031980743228633,0.05358757071243247,0.7089716782310539,0.7069232891578756,-0.053854469847776025,0.7052369526078633,0.18088090419769287
30,0.1315858374442502,0.003838028060272336,0.08991812914609909,-0.14420583844184875,0.04264474850644735,0.9990902989343966,-0.0,-0.7048326979792249,0.030100737830712137,0.7087346565826831,0.7080899200003394,-0.030223811191612507,0.7054751494070977,0.1807602345943451
31,0.13583674873361654,0.0008394187898375094,0.0899960845708847,-0.14119377732276917,0.009326876282291235,0.9999565037434454,-0.0,-0.7056811711675938,0.0065978912271379645,0.7084988020391342,0.7084679850819394,-0.006608080673595714,0.7057120144816497,0.1806558221578598
32,0.14008054243173385,-0.0021561114117503166,0.08997417241334915,-0.13818776607513428,-0.023956792218973906,0.9997129948673155,0.0,-0.7057411599444877,-0.016895621844449177,0.7082682776481651,0.7080650011138006,0.016967835965223412,0.7059433736075232,0.18052704632282257
33,0.14431732162644015,-0.00514525780454278,0.08985280990600586,-0.13518767058849335,-0.05716952147817135,0.9983644854530619,0.0,-0.705014141753489,-0.04035634358929733,0.7080440844041379,0.7068860680835439,0.04047854149537679,0.7061682337997047,0.18039570748806
34,0.14854723599767494,-0.008124839514493942,0.08963251113891602,-0.13219338655471802,-0.09027599766176023,0.9959167858040018,0.0,-0.7035098302563763,-0.06375660952737194,0.7078199018636161,0.7049297216589887,0.06389914781164886,0.7063929405300748,0.18030405044555664
35,0.15277048407759386,-0.011091732420027256,0.08931390196084976,-0.12920476496219635,-0.12324147270323849,0.992376712446406,0.0,-0.70122653641892,-0.08706923623375158,0.7076017896554505,0.7022075378154286,0.08720588665401814,0.7066114258686171,0.1801968812942505
36,0.156987144760022,-0.014042722061276436,0.088897705078125,-0.1262217015028,-0.1560302461639342,0.987752277791361,0.0,-0.6981719283828706,-0.11027215654310496,0.7073867470552985,0.6987228707553748,0.11037372828752937,0.7068267043535342,0.18007303774356842
37,0.1611974102844454,-0.01697477325797081,0.088384710252285,-0.12324407696723938,-0.18860857853848298,0.9820523428523007,0.0,-0.6943483332317274,-0.13333855530295494,0.7071783521913289,0.6944861576580591,0.13337990379423129,0.7070352028613478,0.1799841672182083
38,0.1654014229682919,-0.019884763285517693,0.0877758339047432,-0.1202717125415802,-0.22094179144157214,0.9752869961168297,0.0,-0.6897638254984648,-0.15624451077915547,0.7069749061212186,0.6895034325925845,0.15620030227888948,0.707238631588396,0.17986337840557098
39,0.1695992905866436,-0.022769691422581673,0.08707205206155777,-0.11730456352233887,-0.2529965331295382,0.9674671850892073,0.0,-0.6844298763671359,-0.17896804015062798,0.7067716639344775,0.6837783922624728,0.17881078070399242,0.707441739635835,0.17975389957427979
40,0.17379122223295645,-0.02562660165131092,0.08627443015575409,-0.11434244364500046,-0.2847399931427242,0.9586047862936433,0.0,-0.6783496922702603,-0.2014809305845692,0.7065742208767731,0.6773254300588195,0.20118993882350894,0.7076389406412199,0.17968600988388062
41,0.17797732365945218,-0.028452541679143906,0.08538415282964706,-0.11138526350259781,-0.3161393143287383,0.9487127773650754,0.0,-0.6715354852337304,-0.22376175001210077,0.7063786316865909,0.6701504335965507,0.2233140562971397,0.707834181578195,0.17956386506557465
42,0.18215774512665614,-0.031244637444615364,0.08440244942903519,-0.10843291133642197,-0.3471626611986524,0.9378049299664988,0.0,-0.663990314191209,-0.24578779766153083,0.7061906408194276,0.6622690645014956,0.24516302219705163,0.7080217360727861,0.17946340143680573
43,0.1863327153975647,-0.03400006517767906,0.08333063870668411,-0.10548516362905502,-0.377778462844582,0.9258960163057106,0.0,-0.6557274954471027,-0.2675328212934202,0.706008244459973,0.6536902210727413,0.2667147093673829,0.7082036138575849,0.17940311133861542
44,0.1905021864033346,-0.03671594709157944,0.08217018842697144,-0.10254206508398056,-0.4079549535237963,0.913002056895491,0.0,-0.6467589603687398,-0.2889769316212741,0.7058294271093409,0.644423718814505,0.2879466111528119,0.708381831892162,0.17928527295589447
45,0.19466652862293496,-0.03938966989517212,0.08092252165079117,-0.0996033102273941,-0.437662984225041,0.8991390950454949,0.0,-0.6370969913367299,-0.3100993279938796,0.7056527690071308,0.6344799921822244,0.30883809673018664,0.7085578095882653,0.1792040914297104
46,0.19882572018482683,-0.04201848804950714,0.07958924025297165,-0.09666893631219864,-0.4668720733147722,0.8843248651704676,0.0,-0.6267502200588504,-0.33087455659872084,0.7054829476690295,0.623876112619287,0.3293702864885292,0.7087268941429491,0.1791338473558426
47,0.20298006689984713,-0.044599831104278564,0.07817196846008301,-0.09373864531517029,-0.49555360891896094,0.8685773544638344,0.0,-0.615733548481095,-0.3512848527679325,0.7053163471029796,0.612621806863288,0.3495220612572369,0.7088926931842735,0.1790170818567276
48,0.20712956920793654,-0.04713110253214836,0.07667241990566254,-0.09081248939037323,-0.5236788346837752,0.8519157693717397,0.0,-0.6040599959692005,-0.37130841720292007,0.7051535865213704,0.6007314602162653,0.36927400848083447,0.7090545954769141,0.17896443605422974
49,0.2112743988737968,-0.04960976913571358,0.07509241998195648,-0.08789025992155075,-0.5512196126301208,0.8343601971881804,0.0,-0.5917398128285533,-0.3909207744893548,0.7049999588555107,0.5882239047169128,0.38860980424346037,0.7092073448332636,0.17888043820858002
50,0.21541479029941707,-0.05203346908092499,0.0734337717294693,-0.08497180044651031,-0.5781495703361147,0.8159308024092276,0.0,-0.5787937519650245,-0.41010787222226425,0.7048470229968888,0.5751063970767394,0.4075070035175664,0.7093593406204967,0.178803950548172
51,0.21955082466193446,-0.05439979210495949,0.07169841974973679,-0.08205703645944595,-0.604442129586111,0.7966490519553807,0.0,-0.5652329522272399,-0.42884743163221867,0.7046996453092113,0.5613983043753391,0.42595015434935496,0.7095057504025284,0.17873449623584747
52,0.22368267912108702,-0.05670643970370293,0.06988834589719772,-0.07914581149816513,-0.6300715143158053,0.7765371123441479,0.0,-0.5510736482475993,-0.4471222578659472,0.7045562580290794,0.5471140821149929,0.4439208284341741,0.7096481376244043,0.17864461243152618
53,0.22781044429997016,-0.05895114690065384,0.06800560653209686,-0.07623805850744247,-0.6550127208772465,0.7556178501656683,0.0,-0.5363329425401059,-0.4649135872637442,0.7044163052654505,0.5322695342229099,0.46140164075659845,0.7097870588037271,0.17859844863414764
54,0.2319343342878699,-0.06113177910447121,0.06605229526758194,-0.07333359867334366,-0.6792420063725007,0.7339143661075587,0.0,-0.5210226551934676,-0.48219845621961493,0.7042869028986476,0.5168862759156705,0.4783812490024427,0.7099154586096096,0.17852236330509186
55,0.23605449542541163,-0.06324619799852371,0.06403060257434845,-0.07043226808309555,-0.7027355681264086,0.7114511376686761,0.0,-0.5051656822235442,-0.49896548803557367,0.7041598364384631,0.5009753167521086,0.4948381627285446,0.7100414950638891,0.17848405241966248
56,0.24017106868877575,-0.06529241800308228,0.06194272264838219,-0.06753400713205338,-0.7254712356481212,0.6882524872800593,0.0,-0.4887801040620972,-0.5151991770263494,0.7040339607323055,0.4845531246223645,0.5107563874504427,0.7101663059433871,0.178385928273201
57,0.24428410804636583,-0.06726840138435364,0.059790994971990585,-0.06463872641324997,-0.7474266259745426,0.6643443676169094,0.0,-0.471877725875643,-0.5308799169469605,0.7039161353491052,0.4676427198049525,0.5261256620255231,0.7102830945275495,0.17833468317985535
58,0.24839391328317637,-0.06917233765125275,0.057577669620513916,-0.06174619868397713,-0.7685815461071049,0.6397518323409571,0.0,-0.45448261658808337,-0.545992400136802,0.7038024227097429,0.45025888954660515,0.5409295542146476,0.7103957698082111,0.1782957762479782
59,0.2525004248742775,-0.07100232690572739,0.05530524626374245,-0.05885644629597664,-0.7889146836465503,0.6145027436284265,0.0,-0.4366105117773668,-0.5605206981510564,0.7036958206141047,0.4324230124576286,0.5551559657165333,0.7105013666604822,0.17823459208011627
60,0.25660406261537116,-0.07275673747062683,0.05297601595520973,-0.05596913397312164,-0.8084080957543034,0.5886224177848657,0.0,-0.41828296840669216,-0.574454403032953,0.703591854114969,0.4141499383119053,0.5687893509857038,0.7106043222507917,0.17817452549934387
